Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/12/01,AYRO,AYRO,S,CBOE,14
2021/12/01,AYTU,AYTU,S,CBOE,5
2021/12/01,AYX,AYX,S,CBOE,239
2021/12/01,AZN,AZN,S,CBOE,358
2021/12/01,AZO,AZO,S,CBOE,148
2021/12/01,AZPN,AZPN,S,CBOE,5
2021/12/01,AZTA,AZTA,S,CBOE,6
2021/12/01,AZUL,AZUL,S,CBOE,29
2021/12/01,BA,BA,S,CBOE,26054
2021/12/01,BABA,BABA,S,CBOE,30542
2021/12/01,BAC,BAC,S,CBOE,23697
2021/12/01,BAL,BAL,S,CBOE,2
2021/12/01,BALY,BALY,S,CBOE,39
2021/12/01,BAM,BAM,S,CBOE,16
2021/12/01,BAND,BAND,S,CBOE,18
2021/12/01,BARK,BARK,S,CBOE,536
2021/12/01,BATT,BATT,S,CBOE,6
2021/12/01,BAX,BAX,S,CBOE,113
2021/12/01,BB,BB,S,CBOE,4112
2021/12/01,BBAR,BBAR,S,CBOE,1
2021/12/01,BBBY,BBBY,S,CBOE,3097
2021/12/01,BBD,BBD,S,CBOE,14
2021/12/01,BBD2,BBD,S,CBOE,10
2021/12/01,BBIG,BBIG,S,CBOE,6731
2021/12/01,BBIO,BBIO,S,CBOE,187
2021/12/01,BBL,BBL,S,CBOE,15
2021/12/01,BBU,BBU,S,CBOE,2
2021/12/01,BBVA,BBVA,S,CBOE,1000
2021/12/01,BBW,BBW,S,CBOE,1329
2021/12/01,BBWI,BBWI,S,CBOE,380
2021/12/01,BBY,BBY,S,CBOE,2483
2021/12/01,BC,BC,S,CBOE,3
2021/12/01,BCC,BCC,S,CBOE,5
2021/12/01,BCE,BCE,S,CBOE,14
2021/12/01,BCEL,BCEL,S,CBOE,6
2021/12/01,BCLI,BCLI,S,CBOE,34
2021/12/01,BCOR,BCOR,S,CBOE,4
2021/12/01,BCPC,BCPC,S,CBOE,1
2021/12/01,BCRX,BCRX,S,CBOE,1423
2021/12/01,BCS,BCS,S,CBOE,6
2021/12/01,BCTX,BCTX,S,CBOE,2954
2021/12/01,BCYC,BCYC,S,CBOE,6
2021/12/01,BDN,BDN,S,CBOE,10
2021/12/01,BDRY,BDRY,S,CBOE,22
2021/12/01,BDSI,BDSI,S,CBOE,2
2021/12/01,BDX,BDX,S,CBOE,41
2021/12/01,BE,BE,S,CBOE,319
2021/12/01,BEAM,BEAM,S,CBOE,22
2021/12/01,BECN,BECN,S,CBOE,3
2021/12/01,BEEM,BEEM,S,CBOE,48
2021/12/01,BEKE,BEKE,S,CBOE,1057
2021/12/01,BEN,BEN,S,CBOE,60
2021/12/01,BENE,BENE,S,CBOE,496
2021/12/01,BEP,BEP,S,CBOE,1
2021/12/01,BEPC,BEPC,S,CBOE,1
2021/12/01,BERY,BERY,S,CBOE,35
2021/12/01,BEST,BEST,S,CBOE,8
2021/12/01,BETZ,BETZ,S,CBOE,77
2021/12/01,BFAM,BFAM,S,CBOE,1
2021/12/01,BFI,BFI,S,CBOE,4
2021/12/01,BFLY,BFLY,S,CBOE,157
2021/12/01,BG,BG,S,CBOE,430
2021/12/01,BGFV,BGFV,S,CBOE,269
2021/12/01,BGNE,BGNE,S,CBOE,25
2021/12/01,BGRY,BGRY,S,CBOE,37
2021/12/01,BGS,BGS,S,CBOE,140
2021/12/01,BHC,BHC,S,CBOE,1381
2021/12/01,BHF,BHF,S,CBOE,58
2021/12/01,BHG,BHG,S,CBOE,442
2021/12/01,BHIL,BHIL,S,CBOE,1
2021/12/01,BHP,BHP,S,CBOE,150
2021/12/01,BHR,BHR,S,CBOE,7
2021/12/01,BHVN,BHVN,S,CBOE,11
2021/12/01,BIB,BIB,S,CBOE,1
2021/12/01,BIDU,BIDU,S,CBOE,1307
2021/12/01,BIG,BIG,S,CBOE,226
2021/12/01,BIGC,BIGC,S,CBOE,466
2021/12/01,BIIB,BIIB,S,CBOE,376
2021/12/01,BILI,BILI,S,CBOE,1036
2021/12/01,BILL,BILL,S,CBOE,206
2021/12/01,BIO,BIO,S,CBOE,9
2021/12/01,BIOC,BIOC,S,CBOE,280
2021/12/01,BIP,BIP,S,CBOE,13
2021/12/01,BIRD,BIRD,S,CBOE,1705
2021/12/01,BITF,BITF,S,CBOE,2474
2021/12/01,BITO,BITO,S,CBOE,2451
2021/12/01,BITQ,BITQ,S,CBOE,18
2021/12/01,BIV,BIV,S,CBOE,3
2021/12/01,BJ,BJ,S,CBOE,38
2021/12/01,BJRI,BJRI,S,CBOE,4
2021/12/01,BK,BK,S,CBOE,31
2021/12/01,BKD,BKD,S,CBOE,3
2021/12/01,BKE,BKE,S,CBOE,134
2021/12/01,BKKT,BKKT,S,CBOE,5821
2021/12/01,BKLN,BKLN,S,CBOE,31
2021/12/01,BKNG,BKNG,S,CBOE,845
2021/12/01,BKR,BKR,S,CBOE,34
2021/12/01,BKSY,BKSY,S,CBOE,56
2021/12/01,BKYI,BKYI,S,CBOE,2
